index,pid,plant_name,Date,Depth_mm,IrrigationGroup,Time_hr
153,1,Guayule MAC D100 2018,2018-08-17 00:00:00,10.7,a,2
154,1,Guayule MAC D100 2018,2018-08-19 00:00:00,10.7,a,2
155,1,Guayule MAC D100 2018,2018-08-23 00:00:00,12.2,a,2
156,1,Guayule MAC D100 2018,2018-08-24 00:00:00,12.2,a,2
157,1,Guayule MAC D100 2018,2018-08-25 00:00:00,12.2,a,2
158,1,Guayule MAC D100 2018,2018-08-28 00:00:00,12,a,2
159,1,Guayule MAC D100 2018,2018-08-29 00:00:00,12,a,2
160,1,Guayule MAC D100 2018,2018-08-30 00:00:00,12,a,2
161,1,Guayule MAC D100 2018,2018-08-31 00:00:00,12,a,2
162,1,Guayule MAC D100 2018,2018-09-01 00:00:00,12,a,2
163,1,Guayule MAC D100 2018,2018-09-02 00:00:00,12,a,2
164,1,Guayule MAC D100 2018,2018-09-03 00:00:00,12,a,2
165,1,Guayule MAC D100 2018,2018-09-04 00:00:00,12,a,2
166,1,Guayule MAC D100 2018,2018-09-11 00:00:00,12,a,2
167,1,Guayule MAC D100 2018,2018-09-12 00:00:00,18,a,2
168,1,Guayule MAC D100 2018,2018-09-13 00:00:00,12,a,2
169,1,Guayule MAC D100 2018,2018-09-14 00:00:00,12,a,2
170,1,Guayule MAC D100 2018,2018-09-15 00:00:00,12,a,2
171,1,Guayule MAC D100 2018,2018-09-19 00:00:00,24,a,2
172,1,Guayule MAC D100 2018,2018-09-20 00:00:00,24,a,2
173,1,Guayule MAC D100 2018,2018-09-21 00:00:00,12,a,2
174,1,Guayule MAC D100 2018,2018-09-22 00:00:00,12,a,2
175,1,Guayule MAC D100 2018,2018-09-23 00:00:00,12,a,2
176,1,Guayule MAC D100 2018,2018-09-24 00:00:00,12,a,2
177,1,Guayule MAC D100 2018,2018-09-28 00:00:00,24,a,2
178,1,Guayule MAC D100 2018,2018-09-29 00:00:00,12,a,2
